ts	zoom_sample	active_profile	zoom_ratio	profile_src	eff_pan	eff_tilt	eff_accel	lead_ms	ap_mode	ap_trk	ap_id	err_x	err_y	cmd_pan	cmd_tilt	base_pan	base_tilt	trk_mode	sel_id	sel_valid	lost	cx	cy	pcx	pcy	vx	vy	motion	score	policy	switch	auto_zoom_box_h	auto_zoom_target_h	auto_zoom_cmd
1785503381.633	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	512/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503381.988	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	514/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503382.337	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	514/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503382.686	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	516/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503383.016	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	517/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503383.368	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	518/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503383.721	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	519/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503384.069	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	521/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503384.499	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	522/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503384.894	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	524/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503385.240	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	525/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503385.585	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	526/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503385.934	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	527/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503386.286	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	529/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503386.633	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	530/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503386.985	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	531/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503387.316	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	532/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503387.654	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	533/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503388.003	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	534/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503388.349	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	536/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503388.744	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	537/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503389.118	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	538/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503389.472	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	540/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503389.817	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	541/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503390.164	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	542/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503390.515	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	543/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503390.869	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	545/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503391.309	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	546/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
1785503391.662	0	0	0	user	35	28	8	150	IDLE	IDLE	0	0	0	0	0	0	0	IDLE	0	False	547/12	0	0	0	0	0	0	0	0	moving_near_sticky		0	0.48	0
